12 3
  5.01426509658178920503246445150580257177352905273438e-01  2.49286745170910567503952393053623382002115249633789e-01  2.49286745170910484237225546166882850229740142822266e-01
  2.49286745170910345459347468022315297275781631469727e-01  5.01426509658179142547851370181888341903686523437500e-01  2.49286745170910484237225546166882850229740142822266e-01
  2.49286745170910428726074314909055829048156738281250e-01  2.49286745170910623015103624311450403183698654174805e-01  5.01426509658178920503246445150580257177352905273438e-01
  8.73821971016995879821820381039287894964218139648438e-01  6.30890144915020184557263860369857866317033767700195e-02  6.30890144915020184557263860369857866317033767700195e-02
  6.30890144915023237670581579550344031304121017456055e-02  8.73821971016995657777215456007979810237884521484375e-01  6.30890144915020184557263860369857866317033767700195e-02
  6.30890144915024209115728126562316901981830596923828e-02  6.30890144915021156002410407381830736994743347167969e-02  8.73821971016995435732610530976671725511550903320312e-01
  6.36502499121398335191202022542711347341537475585938e-01  3.10352451033784559886186116273165680468082427978516e-01  5.31450498448170077780972064829256851226091384887695e-02
  6.36502499121398446213504485058365389704704284667969e-01  5.31450498448170979837179572768945945426821708679199e-02  3.10352451033784504375034885015338659286499023437500e-01
  3.10352451033784282330429959984030574560165405273438e-01  6.36502499121398668258109410089673474431037902832031e-01  5.31450498448170077780972064829256851226091384887695e-02
  3.10352451033784448863883653757511638104915618896484e-01  5.31450498448171118615057650913513498380780220031738e-02  6.36502499121398446213504485058365389704704284667969e-01
  5.31450498448168204279618009877594886347651481628418e-02  6.36502499121398779280411872605327516794204711914062e-01  3.10352451033784504375034885015338659286499023437500e-01
  5.31450498448168898169008400600432651117444038391113e-02  3.10352451033784670908488578788819722831249237060547e-01  6.36502499121398446213504485058365389704704284667969e-01
