12 3
 -5.00000000000000000000000000000000000000000000000000e-01  0.00000000000000000000000000000000000000000000000000e+00  5.00000000000000000000000000000000000000000000000000e-01
 -5.00000000000000000000000000000000000000000000000000e-01  0.00000000000000000000000000000000000000000000000000e+00  5.00000000000000000000000000000000000000000000000000e-01
 -5.00000000000000000000000000000000000000000000000000e-01  0.00000000000000000000000000000000000000000000000000e+00  5.00000000000000000000000000000000000000000000000000e-01
 -4.99999999999999944488848768742172978818416595458984e-01 -3.20493781063927364361571261486976892628284939933906e-17  5.00000000000000000000000000000000000000000000000000e-01
 -5.00000000000000111022302462515654042363166809082031e-01  6.40987562127854728723142522973953785256569879867812e-17  5.00000000000000000000000000000000000000000000000000e-01
 -5.00000000000000000000000000000000000000000000000000e-01  0.00000000000000000000000000000000000000000000000000e+00  5.00000000000000000000000000000000000000000000000000e-01
 -5.00000000000000000000000000000000000000000000000000e-01  0.00000000000000000000000000000000000000000000000000e+00  5.00000000000000000000000000000000000000000000000000e-01
 -4.99999999999999944488848768742172978818416595458984e-01 -3.20493781063927364361571261486976892628284939933906e-17  5.00000000000000000000000000000000000000000000000000e-01
 -5.00000000000000000000000000000000000000000000000000e-01  0.00000000000000000000000000000000000000000000000000e+00  5.00000000000000000000000000000000000000000000000000e-01
 -4.99999999999999944488848768742172978818416595458984e-01 -3.20493781063927364361571261486976892628284939933906e-17  5.00000000000000000000000000000000000000000000000000e-01
 -5.00000000000000000000000000000000000000000000000000e-01  0.00000000000000000000000000000000000000000000000000e+00  5.00000000000000000000000000000000000000000000000000e-01
 -5.00000000000000111022302462515654042363166809082031e-01  6.40987562127854728723142522973953785256569879867812e-17  5.00000000000000000000000000000000000000000000000000e-01
